id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6746543,Cool Top Floor 1 Bedroom Penthouse,32376332,Jordan,,Chinatown,42.34991,-71.06164,Entire home/apt,229,91,9,2022-08-14,0.10,1,270,1,
6758443,"Stylish Downtown Studio in the SouthEnd, C.Ave# 45",22348222,Maverick,,South End,42.34441,-71.07633,Entire home/apt,75,1,195,2022-11-13,2.13,54,332,26,STR-441260
6758462,"Stylish Downtown Studio in the SouthEnd, C.Ave# 43",22348222,Maverick,,South End,42.34441,-71.07633,Entire home/apt,75,1,109,2022-11-13,1.57,54,349,25,LB-101763
6758482,"Stylish Downtown Studio in the SouthEnd, C.Ave# 1",22348222,Maverick,,South End,42.34447,-71.07644,Entire home/apt,75,1,146,2022-11-13,2.09,54,325,23,STR-415602
6759004,Stylish & Comfortable Newbury St Studio; #10,22348222,Maverick,,Back Bay,42.34982,-71.08264,Entire home/apt,85,1,225,2022-12-11,2.51,54,302,34,STR-445402
6759439,South End Studio Perfect for Work Travel #26,22348222,Maverick,,South End,42.34441,-71.07633,Entire home/apt,85,1,77,2022-11-27,1.13,54,339,20,STR-441244
6762011,"Heart of South End, Convenient, Comfy Studio #22",22348222,Maverick,,South End,42.34441,-71.07633,Entire home/apt,75,1,119,2022-11-28,1.59,54,305,12,LB-101763
6763409,"Charming Studio in Boston Brownstone, C.Ave#5",22348222,Maverick,,South End,42.34447,-71.07644,Entire home/apt,122,1,227,2022-12-18,2.59,54,338,14,STR-415606
6780077,"Treetop and Ocean view, safe, near metro",9898255,Jessica,,Dorchester,42.31392,-71.06137,Private room,70,2,62,2022-11-20,1.30,5,253,26,STR-443035
6793945,Stylish South End Apartment,35331408,Andrew,,South End,42.33768,-71.07624,Entire home/apt,130,29,106,2022-11-11,1.17,1,161,5,
6800522,"Small room Easy to Downtown, Longwood Clean Sunny",18517776,Huggy,,Roxbury,42.31676,-71.08,Private room,35,150,11,2016-09-21,0.13,31,365,0,
6810723,"South End Studio, Ideal for Boston Travelers..# 23",22348222,Maverick,,South End,42.34441,-71.07633,Entire home/apt,75,1,111,2022-12-03,1.67,54,333,18,STR-441255
6819620,Renovated Parking EZ to downtown,18517776,Huggy,,Roxbury,42.31676,-71.08,Private room,37,150,5,2017-11-23,0.06,31,365,0,
6823017,"Allston, Close to Harvard Business School + BU A",19548932,Yi,,Allston,42.35803,-71.12952,Private room,68,91,253,2019-10-25,2.92,1,216,0,Exempt: This listing is a unit used for furnished institutional or business stays
6843795,A Fenway Getaway,23249169,Helen,,Fenway,42.34512,-71.09479,Entire home/apt,185,91,102,2020-01-07,1.13,1,237,0,
6851459,"Stylish Downtown Studio in the SouthEnd, C.Ave# 31",22348222,Maverick,,South End,42.34441,-71.07633,Entire home/apt,90,1,167,2022-12-20,1.90,54,351,13,STR-441245
6851460,"Stylish Studio in Boston Brownstone, C.Ave# 21",22348222,Maverick,,South End,42.34441,-71.07633,Entire home/apt,85,1,105,2022-12-04,1.20,54,354,18,STR-441240
6862594,"Beautiful Home in Jamaica Plain, MA",10608570,Edward,,Jamaica Plain,42.31927,-71.11325,Private room,60,91,0,,,1,0,0,
6879036,Stylish Studio on Newbury St; #3,22348222,Maverick,,Back Bay,42.34982,-71.08264,Entire home/apt,85,1,234,2022-12-16,2.71,54,326,11,STR-445394
6882615,"City Living with a View, Newbury St; #4",22348222,Maverick,,Back Bay,42.34979,-71.08263,Entire home/apt,104,1,260,2022-12-11,3.01,54,314,32,STR-445396
6908525,"Stylish Studio on Newbury St, THIS IS BOSTON!; #12",22348222,Maverick,,Back Bay,42.34982,-71.08264,Entire home/apt,85,1,225,2022-12-19,2.48,54,319,25,LB-418468
6914155,Spacious bedroom close to downtown,36234262,Kimberly,,Dorchester,42.315,-71.0564,Private room,59,91,0,,,1,0,0,
6914622,"Exquisite Treetop Haven, JP Center, Driveway!",36238599,Julie,,Jamaica Plain,42.30849,-71.11721,Entire home/apt,304,1,54,2022-11-12,0.60,1,243,6,STR-445548
6921672,French Country 2bd/2bth Heart of JP,36278389,Jessica,,Jamaica Plain,42.32132,-71.10957,Entire home/apt,250,91,1,2016-08-08,0.01,1,0,0,
7018497,2 Bedroom in the heart of Boston,25960013,George,,North End,42.367,-71.05764,Entire home/apt,200,91,6,2015-10-07,0.07,1,0,0,
7053454,Basement apartment in Charlestown,36992931,Ryan,,Charlestown,42.38239,-71.06393,Private room,200,91,8,2016-07-29,0.09,1,365,0,
7054912,North Station Luxury Apartment!,6223931,Richard,,Downtown,42.36478,-71.06122,Entire home/apt,225,91,2,2015-07-09,0.02,1,0,0,
7086825,Private Room near public transport,34552909,Barrie,,Roslindale,42.28249,-71.1146,Private room,50,29,22,2022-11-01,0.24,3,326,2,
7093109,Cozy  Apt. 20 Minutes  from Downtown,37177446,Nelson And Marlene,,Roslindale,42.279,-71.11814,Entire home/apt,200,29,42,2020-09-07,0.51,2,259,0,STR-415844
